NationalStationID,Year,Month,Day,Time,SampleID,SampleDepth,FitoZoo,ClasseDim,Abbondanza_CD,file_name
M1CL12,2017.0,11.0,22.0,10:54:00,55,50.0,Z,MZ,10.393792201919698,Modulo_1_20180131163008_ARPA_Liguria_Campania.xls
M1CL12,2017.0,11.0,22.0,10:54:00,56,50.0,Z,GZ,0.0,Modulo_1_20180131163008_ARPA_Liguria_Campania.xls
0004-MS00200_TR06,2016.0,1.0,20.0,10:55:00,16CA00180,0.5,F,NF,145320.0,Modulo_1_20161013144130_ARPA_Liguria_Sardegna.xls
0004-MS00200_TR06,2016.0,1.0,20.0,10:55:00,16CA00180,0.5,F,MF,4370.0,Modulo_1_20161013144130_ARPA_Liguria_Sardegna.xls
0004-MS00200_TR06,2016.0,1.0,20.0,10:55:00,16CA00181,30.0,F,NF,101732.0,Modulo_1_20161013144130_ARPA_Liguria_Sardegna.xls
0004-MS00200_TR06,2016.0,1.0,20.0,10:55:00,16CA00181,30.0,F,MF,2510.0,Modulo_1_20161013144130_ARPA_Liguria_Sardegna.xls
0004-MS00200_TR12,2016.0,1.0,18.0,12:00:00,16CA00140,0.5,F,NF,105943.0,Modulo_1_20161013144130_ARPA_Liguria_Sardegna.xls
0004-MS00200_TR12,2016.0,1.0,18.0,12:00:00,16CA00140,0.5,F,MF,2960.0,Modulo_1_20161013144130_ARPA_Liguria_Sardegna.xls
0004-MS00200_TR12,2016.0,1.0,18.0,12:00:00,16CA00141,30.0,F,NF,30322.0,Modulo_1_20161013144130_ARPA_Liguria_Sardegna.xls
0004-MS00200_TR12,2016.0,1.0,18.0,12:00:00,16CA00141,30.0,F,MF,2200.0,Modulo_1_20161013144130_ARPA_Liguria_Sardegna.xls
0018-MS00110_TR06,2016.0,2.0,25.0,12:00:00,16CA00618,0.5,F,NF,70590.0,Modulo_1_20161013144130_ARPA_Liguria_Sardegna.xls
0018-MS00110_TR06,2016.0,2.0,25.0,12:00:00,16CA00618,0.5,F,MF,720.0,Modulo_1_20161013144130_ARPA_Liguria_Sardegna.xls
0018-MS00110_TR06,2016.0,2.0,25.0,12:00:00,16CA00619,25.0,F,NF,105350.0,Modulo_1_20161013144130_ARPA_Liguria_Sardegna.xls
0018-MS00110_TR06,2016.0,2.0,25.0,12:00:00,16CA00619,25.0,F,MF,1380.0,Modulo_1_20161013144130_ARPA_Liguria_Sardegna.xls
0018-MS00110_TR12,2016.0,2.0,25.0,10:20:00,16CA00620,0.5,F,NF,100028.0,Modulo_1_20161013144130_ARPA_Liguria_Sardegna.xls
0018-MS00110_TR12,2016.0,2.0,25.0,10:20:00,16CA00620,0.5,F,MF,1050.0,Modulo_1_20161013144130_ARPA_Liguria_Sardegna.xls
0018-MS00110_TR12,2016.0,2.0,25.0,10:20:00,16CA00621,30.0,F,NF,107532.0,Modulo_1_20161013144130_ARPA_Liguria_Sardegna.xls
0018-MS00110_TR12,2016.0,2.0,25.0,10:20:00,16CA00621,30.0,F,MF,1460.0,Modulo_1_20161013144130_ARPA_Liguria_Sardegna.xls
0129-MS00730_TR06,2016.0,1.0,21.0,12:00:00,16SS00257,50.0,Z,PZ,162.3703703703703,Modulo_1_20161013144130_ARPA_Liguria_Sardegna.xls
0129-MS00730_TR06,2016.0,1.0,21.0,12:00:00,16SS00257,50.0,Z,MZ,62.81481481481481,Modulo_1_20161013144130_ARPA_Liguria_Sardegna.xls
0129-MS00730_TR06,2016.0,1.0,21.0,12:00:00,16SS00257,50.0,Z,GZ,38.51851851851852,Modulo_1_20161013144130_ARPA_Liguria_Sardegna.xls
0129-MS00730_TR12,2016.0,1.0,21.0,11:00:00,16SS00260,50.0,Z,PZ,191.27988748241913,Modulo_1_20161013144130_ARPA_Liguria_Sardegna.xls
0129-MS00730_TR12,2016.0,1.0,21.0,11:00:00,16SS00260,50.0,Z,MZ,28.12939521800282,Modulo_1_20161013144130_ARPA_Liguria_Sardegna.xls
0129-MS00730_TR12,2016.0,1.0,21.0,11:00:00,16SS00260,50.0,Z,GZ,3.938115330520394,Modulo_1_20161013144130_ARPA_Liguria_Sardegna.xls
0192-MS01200_TR06,2016.0,1.0,26.0,11:15:00,16SS00275,50.0,Z,PZ,238.31417624521086,Modulo_1_20161013144130_ARPA_Liguria_Sardegna.xls
0192-MS01200_TR06,2016.0,1.0,26.0,11:15:00,16SS00275,50.0,Z,MZ,79.31034482758619,Modulo_1_20161013144130_ARPA_Liguria_Sardegna.xls
0192-MS01200_TR06,2016.0,1.0,26.0,11:15:00,16SS00275,50.0,Z,GZ,14.176245210727968,Modulo_1_20161013144130_ARPA_Liguria_Sardegna.xls
0192-MS01200_TR12,2016.0,1.0,26.0,10:00:00,16SS00278,50.0,Z,PZ,196.49122807017537,Modulo_1_20161013144130_ARPA_Liguria_Sardegna.xls
0192-MS01200_TR12,2016.0,1.0,26.0,10:00:00,16SS00278,50.0,Z,MZ,67.3684210526316,Modulo_1_20161013144130_ARPA_Liguria_Sardegna.xls
0192-MS01200_TR12,2016.0,1.0,26.0,10:00:00,16SS00278,50.0,Z,GZ,3.508771929824561,Modulo_1_20161013144130_ARPA_Liguria_Sardegna.xls
0182-MS01070_TR06,2016.0,1.0,29.0,11:15:00,16SS00353,40.0,Z,PZ,458.3333333333334,Modulo_1_20161013144130_ARPA_Liguria_Sardegna.xls
0182-MS01070_TR06,2016.0,1.0,29.0,11:15:00,16SS00353,40.0,Z,MZ,129.16666666666666,Modulo_1_20161013144130_ARPA_Liguria_Sardegna.xls
0182-MS01070_TR06,2016.0,1.0,29.0,11:15:00,16SS00353,40.0,Z,GZ,22.5,Modulo_1_20161013144130_ARPA_Liguria_Sardegna.xls
0182-MS01070_TR12,2016.0,1.0,29.0,10:15:00,16SS00354,50.0,Z,PZ,637.4331550802137,Modulo_1_20161013144130_ARPA_Liguria_Sardegna.xls
0182-MS01070_TR12,2016.0,1.0,29.0,10:15:00,16SS00354,50.0,Z,MZ,215.58823529411768,Modulo_1_20161013144130_ARPA_Liguria_Sardegna.xls
0182-MS01070_TR12,2016.0,1.0,29.0,10:15:00,16SS00354,50.0,Z,GZ,27.094474153297682,Modulo_1_20161013144130_ARPA_Liguria_Sardegna.xls
0004-MS00200_TR06,2016.0,1.0,20.0,11:25:00,16CA00183,50.0,Z,PZ,200.0,Modulo_1_20161013144130_ARPA_Liguria_Sardegna.xls
