Region,id,phyto_dates,nearest_dates
Campania,M1GS3,2017-03-31,2017-03-13
Campania,M1GS3,2017-05-31,2017-05-17
Campania,M1GS3,2017-07-31,2017-07-06
Campania,M1GS3,2017-09-30,2017-09-05
Campania,M1GS3,2017-11-30,2017-11-21
Campania,M1GS6,2015-07-31,2015-07-23
Campania,M1GS6,2015-09-30,2015-09-15
Campania,M1GS6,2015-11-30,2015-11-12
Campania,M1GS6,2016-01-31,2016-01-28
Campania,M1GS6,2016-03-31,2016-03-15
Campania,M1GS6,2016-05-31,2016-05-05
Campania,M1GS6,2016-07-31,2016-07-04
Campania,M1GS6,2016-09-30,2016-09-14
Campania,M1GS6,2016-11-30,2016-11-16
Campania,M1GS6,2017-01-31,2017-01-26
Campania,M1GS6,2017-03-31,2017-03-13
Campania,M1GS6,2017-05-31,2017-05-17
Campania,M1GS6,2017-07-31,2017-07-06
Campania,M1GS6,2017-09-30,2017-09-05
Campania,M1GS6,2017-11-30,2017-11-21
Emilia-Romagna,1004,2015-07-31,2015-07-20
Emilia-Romagna,1004,2015-08-31,2015-08-03
Emilia-Romagna,1004,2015-09-30,2015-09-30
Emilia-Romagna,1004,2015-10-31,2015-10-27
Emilia-Romagna,1004,2015-11-30,2015-11-05
Emilia-Romagna,1004,2015-12-31,2015-12-21
Emilia-Romagna,1004,2016-01-31,2016-01-20
Emilia-Romagna,1004,2016-02-29,2016-02-02
Emilia-Romagna,1004,2016-03-31,2016-03-21
Emilia-Romagna,1004,2016-04-30,2016-04-05
Emilia-Romagna,1004,2016-05-31,2016-05-18
Emilia-Romagna,1004,2016-06-30,2016-06-07
Emilia-Romagna,1004,2016-07-31,2016-07-05
Emilia-Romagna,1004,2016-08-31,2016-08-03
Emilia-Romagna,1004,2016-09-30,2016-09-26
Emilia-Romagna,1004,2016-10-31,2016-10-19
Emilia-Romagna,1004,2016-11-30,2016-11-16
Emilia-Romagna,1004,2016-12-31,2016-12-07
Emilia-Romagna,1004,2017-01-31,2017-01-27
Emilia-Romagna,1004,2017-02-28,2017-02-01
Emilia-Romagna,1004,2017-03-31,2017-03-10
Emilia-Romagna,1004,2017-04-30,2017-04-06
Emilia-Romagna,1004,2017-05-31,2017-05-17
Emilia-Romagna,1004,2017-06-30,2017-06-07
Emilia-Romagna,1004,2017-07-31,2017-07-05
Emilia-Romagna,1004,2017-08-31,2017-08-01
Emilia-Romagna,1004,2017-09-30,2017-09-05
Emilia-Romagna,1004,2017-10-31,2017-10-02
Emilia-Romagna,1004,2017-11-30,2017-11-20
Emilia-Romagna,1004,2017-12-31,2017-12-18
Emilia-Romagna,1014,2015-07-31,2015-07-21
Emilia-Romagna,1014,2015-08-31,2015-08-04
Emilia-Romagna,1014,2015-09-30,2015-09-30
Emilia-Romagna,1014,2015-10-31,2015-10-28
Emilia-Romagna,1014,2015-11-30,2015-11-04
Emilia-Romagna,1014,2015-12-31,2015-12-22
Emilia-Romagna,1014,2016-01-31,2016-01-14
Emilia-Romagna,1014,2016-02-29,2016-02-01
Emilia-Romagna,1014,2016-03-31,2016-03-25
Emilia-Romagna,1014,2016-04-30,2016-04-04
Emilia-Romagna,1014,2016-05-31,2016-05-04
Emilia-Romagna,1014,2016-06-30,2016-06-08
Emilia-Romagna,1014,2016-07-31,2016-07-07
Emilia-Romagna,1014,2016-08-31,2016-08-04
Emilia-Romagna,1014,2016-09-30,2016-09-29
Emilia-Romagna,1014,2016-10-31,2016-10-03
Emilia-Romagna,1014,2016-11-30,2016-11-17
Emilia-Romagna,1014,2016-12-31,2016-12-06
Emilia-Romagna,1014,2017-01-31,2017-01-12
Emilia-Romagna,1014,2017-02-28,2017-02-02
Emilia-Romagna,1014,2017-03-31,2017-03-06
Emilia-Romagna,1014,2017-04-30,2017-04-04
Emilia-Romagna,1014,2017-05-31,2017-05-15
Emilia-Romagna,1014,2017-06-30,2017-06-05
Emilia-Romagna,1014,2017-07-31,2017-07-06
Emilia-Romagna,1014,2017-08-31,2017-08-02
